Date,Username,User tag,Content,Mentions,link
"2023-03-18,15:10:32","MangalhoDePauPT","#2657","","","https://cdn.discordapp.com/attachments/834188603952463883/1086667964868218960/1679152223147.jpg?ex=65996d68&is=6586f868&hm=4785056164da3dc4e1470354153cc0ef199e54ea5d12de3dabea787bad9c1b10&"
"2023-03-18,15:10:38","MangalhoDePauPT","#2657","Olha aí o trolho","",""
"2023-03-18,19:05:08","Flow Music","#6823","","",""
"2023-03-18,19:05:15","Flow Music","#6823","Now playing **Last Resort** from **Papa Roach**, requested by **<@220271899656060928>**.","",""
"2023-03-18,19:08:39","Flow Music","#6823","The queue has ended, disconnecting from the channel.","",""
"2023-03-18,21:19:29","leftwild","#0","*play wasnt me shaggy","",""
"2023-03-18,21:19:46","Green-bot","#5315","","",""
"2023-03-18,21:23:34","Green-bot","#5315","","",""
"2023-03-19,14:47:12","Green-bot","#5315","","",""
"2023-03-19,14:48:38","MangalhoDePauPT","#2657","https://9gag.com/gag/amA18Av?utm_source=copy_link&utm_medium=post_share","",""
"2023-03-19,15:16:33","leftwild","#0","*play https://open.spotify.com/track/5RobAV5ROH5KARimi7n3cO?si=3e3f624b633844b2","",""
"2023-03-19,15:16:43","Green-bot","#5315","","",""
"2023-03-19,15:18:53","Green-bot","#5315","","",""
"2023-03-19,15:19:13","MangalhoDePauPT","#2657","","","https://cdn.discordapp.com/attachments/834188603952463883/1087032538821836840/anzRK9z_460swp.webp?ex=659ac0f1&is=65884bf1&hm=64c3a2675ec0703adf8a157e4e8f5b597197d541ad96866e095df57965b12293&"
"2023-03-19,15:25:50","Green-bot","#5315","","",""
"2023-03-19,15:31:12","Green-bot","#5315","","",""
"2023-03-19,15:38:51","Green-bot","#5315","","",""
"2023-03-20,02:07:32","Green-bot","#5315","","",""
"2023-03-20,19:02:24","Flow Music","#6823","","",""
"2023-03-20,19:02:35","Flow Music","#6823","Now playing **Evangelion Opening** from **The Covers Duo**, requested by **<@220271899656060928>**.","",""
"2023-03-20,19:02:41","Flow Music","#6823","The music has been stopped, disconnecting.","",""
"2023-03-20,19:02:42","Flow Music","#6823","The queue has ended, disconnecting from the channel.","",""
